male,vl,cd4,cd4_duration,vl_duration
1,1,1,0.25,0.25
1,2,1,0.25,3.44
1,3,1,0.25,1.45
1,4,1,0.25,3.04
1,5,1,0.25,
1,1,2,1.71,0.25
1,2,2,2,3.21
1,3,2,2.23,2.21
1,4,2,1.6,4.9
1,5,2,1.33,
1,1,3,1.05,0.25
1,2,3,2.12,3.53
1,3,3,1.33,0.95
1,4,3,1.24,2.19
1,5,3,0.68,
1,1,4,4.71,0.25
1,2,4,5.05,4.15
1,3,4,24.67,0.39
1,4,4,9.93,2.09
1,5,4,2.03,
1,1,5,,0.25
1,2,5,,1.5
1,3,5,,1.45
1,4,5,,1.08
1,5,5,,
0,1,1,0.25,0.25
0,2,1,0.25,3.06
0,3,1,0.25,2.27
0,4,1,0.25,5.45
0,5,1,0.25,
0,1,2,1.94,0.25
0,2,2,3.38,3.34
0,3,2,1.97,2.97
0,4,2,1.64,7.49
0,5,2,1.3,
0,1,3,1.35,0.25
0,2,3,3.06,2.85
0,3,3,2.31,1.88
0,4,3,1.19,4.6
0,5,3,0.53,
0,1,4,6.71,0.25
0,2,4,22.67,2.52
0,3,4,15.73,1.27
0,4,4,5.79,3.67
0,5,4,3.22,
0,1,5,,0.25
0,2,5,,1.5
0,3,5,,2
0,4,5,,5.17
0,5,5,,
